Title,AvailableGlobally,ReleaseDate,HoursViewed,NumberofRatings,Rating,Genre,KeyWords,Description
Emily in Paris: Season 3,YES,2022-12-21,161100000,112694.0,7.0,"['COMEDY', 'DRAMA', 'ROMANCE']","FEMALE PROTAGONIST,CHARACTER NAME IN SERIES TITLE,AMERICAN IN FRANCE,LOCATION IN SERIES TITLE,MARKETING",A YOUNG AMERICAN WOMAN FROM THE MIDWEST IS HIRED BY A MARKETING FIRM IN PARIS TO PROVIDE THEM WITH AN AMERICAN PERSPECTIVE ON THINGS.
Outer Banks: Season 2,YES,2021-07-30,153900000,74403.0,8.0,"['ACTION', 'CRIME', 'DRAMA']","TREASURE,TREASURE MAP,TREASURE HUNT,COMING OF AGE,YOUNG","ON AN ISLAND OF HAVES AND HAVE-NOTS, TEEN JOHN B ENLISTS HIS THREE BEST FRIENDS TO HUNT FOR A LEGENDARY TREASURE LINKED TO HIS FATHER&APOS;S DISAPPEARANCE."
Til Money Do Us Part: Season 1 // Hasta que la plata nos separe: Temporada 1,NO,2022-10-19,152100000,650.0,8.0,"['ANIMATION', 'ACTION', 'ADVENTURE']","BETRAYAL BY A FRIEND,BETRAYAL,MAGNETO CHARACTER,MORPH CHARACTER,SHAPESHIFTER",JEAN AND SCOTT GET MARRIED. NEWLY ELECTED PRESIDENT KELLY HAS FREED BEAST WHO HAS BEEN INCARCERATED SINCE THE ATTACK ON GOVERNMENT FACILITY AT THE BEGINNING OF SEASON 1 AND ADDED HIM AS PART OF HIS PRESIDENTIAL CABINET. ANOTHER FR...
Alchemy of Souls: Part 2 // 환혼: 파트 2,YES,2022-12-10,150200000,344.0,6.0,"['ADVENTURE', 'COMEDY', 'FAMILY']","RAPPING ANIMAL,RAPPING PENGUIN,TALKING ANIMAL,TALKING PENGUIN,SEQUEL","FOLLOWS IDA AND BENNI, WHO ATTEND TO THE WINTERSTEIN SCHOOL, WHICH IS NO ORDINARY SCHOOL, AND MUST TEAM TOGETHER WITH THEIR MAGICAL ANIMALS TO SOLVE THE PUZZLE OF MYSTERIOUS HOLES THAT APPEARED ON THE SCHOOL GROUNDS."
The Good Bad Mother: Limited Series // 나쁜엄마: 리미티드 시리즈,YES,2023-04-26,148600000,3849.0,8.0,"['COMEDY', 'CRIME', 'DRAMA']","TRAGEDY DRAMA,SITCOM COMEDY","A TRAGIC ACCIDENT LEAVES AN AMBITIOUS PROSECUTOR WITH THE MIND OF A CHILD, FORCING HIM AND HIS MOTHER TO EMBARK ON A JOURNEY TO HEAL THEIR RELATIONSHIP."
The Marked Heart: Season 1 // Pálpito: Temporada 1,YES,2022-04-20,133500000,120.0,6.0,"['CRIME', 'DRAMA']","BRITISH NOIR,B MOVIE,FORGERY PLATES,KIDNAPPING A GIRL,RAPE AND SEXUAL INTERCOURSE INNUENDO",VILLAIN&APOS;S KIDNAP A MAN&APOS;S DAUGHTER IN ORDER TO GET HOLD OF FORGERY PLATES WHICH THEY BELIEVE TO BE IN HIS POSSESSION.
We Have a Ghost,YES,2023-02-24,124400000,31282.0,6.0,"['ADVENTURE', 'COMEDY', 'DRAMA']","GHOST,HOUSE,CHASE,CAR CHASE,BASED ON SHORT STORY","FINDING A GHOST NAMED ERNEST HAUNTING THEIR NEW HOME TURNS KEVIN&APOS;S FAMILY INTO OVERNIGHT SOCIAL MEDIA SENSATIONS. BUT WHEN KEVIN AND ERNEST INVESTIGATE THE MYSTERY OF ERNEST&APOS;S PAST, THEY BECOME A TARGET OF THE CIA."
The Pale Blue Eye,YES,2023-01-06,120500000,118352.0,7.0,"['CRIME', 'HORROR', 'MYSTERY']","MURDER,YEAR 1830,1830S,19TH CENTURY,WINTER","A WORLD-WEARY DETECTIVE IS HIRED TO INVESTIGATE THE MURDER OF A WEST POINT CADET. STYMIED BY THE CADETS&APOS; CODE OF SILENCE, HE ENLISTS ONE OF THEIR OWN TO HELP UNRAVEL THE CASE - A YOUNG MAN THE WORLD WOULD COME TO KNOW AS EDGAR ALL..."
Crash Landing on You: Season 1 // 사랑의 불시착: 시즌 1,YES,2019-12-14,120300000,14.0,6.0,['SHORT'],"SPARRING PARTNER,BALLOON,PROFESSIONAL WRESTLING,TRAINING CAMP,TENT","JOE PALOOKA AND STRANGLER CHOKEOVITCH HAVE SET UP TRAINING CAMPS ON ADJACENT BEACHFRONT SITES. WHEN JOE KNOCKS OUT THE STRANGLER AFTER A MISUNDERSTANDING, CHOKEOVITCH&APOS;S MANAGER CHALLENGES THE CHAMP TO A PROFESSIONAL WRESTLING BOUT..."
You: Season 3,YES,2021-10-15,107200000,262.0,5.0,"['FAMILY', 'MUSICAL', 'ANIMATION']","JUNK MAN,JUNK,JUNK WAGON,CITY DUMP,LANDFILL",A MANNEQUIN IN THE CITY DUMP IMPROVISES A PIANO FROM THE JUNK TO PLAY AND SING THE TITLE SONG THE VARIOUS ANIMALS AND PIECES OF JUNK ALL JOIN IN.
Murdaugh Murders: A Southern Scandal: Season 1,YES,2023-02-22,104600000,9835.0,7.0,"['DOCUMENTARY', 'CRIME']","RICH FAMILY,CRIME DOCUMENTARY,SCANDAL,SOUTH CAROLINA,DOUBLE MURDER",SHOCKING TRAGEDIES SHATTER A TIGHT-KNIT SOUTH CAROLINA COMMUNITY AND EXPOSE THE HORRIFYING SECRETS OF ITS MOST POWERFUL FAMILY.
Shadow and Bone: Season 1,YES,2021-04-23,99500000,111361.0,8.0,"['ACTION', 'ADVENTURE', 'DRAMA']","MAGIC,POWER,YOUNG WOMAN,SOLDIER,GAY MAN",DARK FORCES CONSPIRE AGAINST ORPHAN MAPMAKER ALINA STARKOV WHEN SHE UNLEASHES AN EXTRAORDINARY POWER THAT COULD CHANGE THE FATE OF HER WAR-TORN WORLD.
The Interest of Love: Limited Series // 사랑의 이해: 리미티드 시리즈,YES,2022-12-21,97800000,16.0,7.0,['COMEDY'],"PARODY COMEDY,SPOOF","LOST IN THE MIDDLE OF NOWHERE, AN ECLECTIC BAND OF CHARACTERS TRY TO FIGURE OUT WHERE THEY ARE, WHY THEY ARE THERE AND JUST WHAT WENT WRONG, EXACTLY. ZACH WAKES UP TO DISCOVER HE IS LOST AND ABANDONED IN THE MIDDLE OF THE DESERT. ..."
That '90s Show: Part 1,YES,2023-01-19,95100000,174.0,6.0,"['DRAMA', 'WESTERN']","SPAGHETTI WESTERN,ITALO WESTERN,EASTERN,OSTERN,SECOND PART","THE LAST OF A TWO-PART FILM CENTERED ON THE LIFE AND CAREER OF JOHN REED, THE REVOLUTIONARY COMMUNIST JOURNALIST."
La Reina del Sur: Season 1,NO,2011-09-05,94700000,3323.0,8.0,"['ACTION', 'CRIME', 'DRAMA']","TELENOVELA,DRUG TRAFFICKING,CARTEL,FEMME FATALE,KIDNAPPING",TERESA MENDOZA RETURNS TO MEXICO AFTER 8 YEARS TO FIGHT WITH MEXICAN DRUG DEALERS.
All of Us Are Dead: Season 1 // 지금 우리 학교는: 시즌 1,YES,2022-01-28,94600000,14591.0,9.0,"['DRAMA', 'HORROR', 'SCI-FI']","INTERACTIVE DRAMA,PLAYSTATION 3,XBOX 360,MICROSOFT WINDOWS,SINGLE PLAYER","IN A WORLD DEVASTATED BY THE UNDEAD, A CONVICTED CRIMINAL IS GIVEN A SECOND CHANCE AT LIFE WHEN HE COMES ACROSS A LITTLE GIRL NAMED CLEMENTINE."
Who Were We Running From?: Limited Series // Biz Kimden Kaçıyorduk Anne?: Mini Dizi,YES,2023-03-24,92900000,3873.0,6.0,"['CRIME', 'DRAMA', 'MYSTERY']","PSYCHOLOGICAL DRAMA,OVERPROTECTIVE MOTHER,CULT,HOTEL,PEER PRESSURE","HIDING A MYSTERIOUS PAST, A MOTHER LIVES LIKE A NAMELESS FUGITIVE WITH HER DAUGHTER AS THEY MAKE HOTELS THEIR HOME AND SEE EVERYONE ELSE AS A THREAT."
La Reina del Sur: Season 2,NO,2019-08-16,92500000,7627.0,5.0,"['COMEDY', 'DRAMA', 'MUSIC']","DANCER,DANCE,FEMALE PROTAGONIST,NUMBERED SEQUEL,SEQUEL","RECENTLY RELEASED FROM JUVENILE DETENTION, TALENTED DANCER MARIA RAMIREZ FINDS AN OUTLET FOR HER PASSION WITH A NEW DANCE CREW."
Women at War: Limited Series // Les Combattantes: Mini-série,YES,2022-10-27,90800000,68.0,7.0,"['SHORT', 'DRAMA', 'WAR']","WACS,WAR WIDOW,WAR GAME,MALE FEMALE RELATIONSHIP,FATHER DAUGHTER RELATIONSHIP","THREE YOUNG WOMEN JOIN THE NEWLY FORMED WOMEN&APOS;S ARMY CORPS (WACS) FOR VARIED REASONS, AND MAKE CONTRIBUTIONS TO THE WAR EFFORT."
Formula 1: Drive to Survive: Season 5,YES,2023-02-24,90200000,48370.0,9.0,"['DOCUMENTARY', 'SPORT']","F1,FORMULA 1,MOTOR SPORTS,CAR RACE,CHAMPIONSHIP",DOCUSERIES FOLLOWING THE FIA FORMULA ONE WORLD CHAMPIONSHIP ACROSS MULTIPLE SEASONS.
Sweet Tooth: Season 1,YES,2021-06-04,89000000,27.0,9.0,"['FAMILY', 'HISTORY', 'SPORT']","YEAR IN TITLE,2000S,NUMBER IN TITLE",A LOOK AT THE 2001 SEATTLE MARINERS WHO TIED MAJOR LEAGUE BASEBALLS MODERN DAY RECORD FOR MOST WINS IN A SEASON WITH 116.
Extraction,YES,2020-04-24,86100000,255235.0,7.0,"['ACTION', 'THRILLER']","DRUG DEALERS,KIDNAPPING,CHILD KIDNAPPING,SHOT IN THE HEAD,BANGLADESH","TYLER RAKE, A FEARLESS BLACK MARKET MERCENARY, EMBARKS ON THE MOST DEADLY EXTRACTION OF HIS CAREER WHEN HE&APOS;S ENLISTED TO RESCUE THE KIDNAPPED SON OF AN IMPRISONED INTERNATIONAL CRIME LORD."
